Item1,relation,Item2
假设,part of,定理
苏里南,capital,帕拉马里博
沙地阿拉伯,located in or next to body of water,红海
拉巴特,twinned administrative body,雅典
台湾,diplomatic relation,圭亚那
角色扮演游戏,instance of,电子游戏类型
明治天皇,country of citizenship,日本
海因里希·冯·克莱斯特,occupation,作家
台湾省,contains administrative territorial entity,基隆市
波斯湾,basin country,阿拉伯联合酋长国
万里长城,located in the administrative territorial entity,内蒙古自治区
班固,sex or gender,男性
王国邦联,official language,丹麦语
美利坚合众国,diplomatic relation,荷属安的列斯
乌克兰,diplomatic relation,希腊
汉水,drainage basin,长江流域
海盐县,located in the administrative territorial entity,嘉兴市
李白,languages spoken written or signed,文言文
叙利亚,basic form of government,一党制
入灭,facet of,佛教
哥伦比亚,member of,联合国
保罗·埃尔德什,residence,匈牙利
有限,subclass of,集合
EC,diplomatic relation,澳大利亚
多伦多,country,加拿大
眼镜猴,taxon rank,属
库克船长,sex or gender,男性
拇指,part of,手
泰国,diplomatic relation,塞尔维亚
尼日尔河,continent,非洲
汉献帝,sex or gender,男性
莎草目,taxon rank,目
西班牙,diplomatic relation,巴基斯坦
芬兰,basic form of government,议会共和制
质量,said to be the same as,能量
蔡元培,member of,中国科学院
复活节岛,official language,拉帕努伊语
中华民国大陆时期,shares border with,大日本帝国
地名,field of work,地理学
占族,religion,佛教
白银市,instance of,地级市
坐标系,subclass of,参考系
史诗,model item,伊利亚特
巴哈马,deepest point,大西洋
地拉那,twinned administrative body,雅典
中子,has part,下夸克
路径积分,subclass of,积分
中性,depicts,中性
布列塔尼半岛,different from,布列塔尼
伽利略·伽利莱,occupation,数学家
松溪县,country,中华人民共和国
黍竺族,taxon rank,族
粤,contains administrative territorial entity,惠州市
伊朗,diplomatic relation,印度
二次方程,instance of,数学公式
绿,taxon rank,种
平凉市,located in the administrative territorial entity,甘肃省
液态,phase of matter,液体
洪都拉斯,diplomatic relation,澳大利亚
海地克里奥尔语,writing system,拉丁文字
鄂,contains administrative territorial entity,天门市
撒马尔罕,twinned administrative body,不来梅
康托尔,residence,俄罗斯帝国
明斯克州,capital,明斯克
庞加莱,occupation,数学家
戏谑,subclass of,幽默
唐肃宗,place of birth,西安市
台湾,diplomatic relation,斯洛伐克
秦,shares border with,四川省
德国,diplomatic relation,伊朗
芬兰湾,has part,涅瓦湾
海盗,subclass of,罪犯
罗马,country,拜占庭帝国
流通,subclass of,经济
爱尔兰,diplomatic relation,埃塞俄比亚
奥地利,ethnic group,南斯拉夫人
执政,applies to jurisdiction,古罗马
弗兰西斯·培根,languages spoken written or signed,英语
意大利,diplomatic relation,波斯尼亚和黑塞哥维那
因纽特人,instance of,族群
脂类,instance of,学科
恒河,country,孟加拉国
最大值,opposite of,最小值
数学建模,has effect,数学模型
法案,part of,成文法
罗马尼亚,diplomatic relation,瑞士
西乡,religion,儒家
意大利,shares border with,瑞士
主席,different from,总统
秋季,opposite of,春季
拉脱维亚,diplomatic relation,希腊
行政院卫生署,parent organization,行政院
斯里兰卡,diplomatic relation,德国
定理,uses,公理系统
欧洲历史,instance of,学科
秦始皇,child,扶苏
东帝汶,instance of,国家
隋文帝,country of citizenship,中国
汇率,subclass of,关系
欧亚,country of citizenship,中华人民共和国
王符,country of citizenship,东汉
约旦,diplomatic relation,希腊
乳源,country,中华人民共和国
财政,has part,政治
奥古斯都,sex or gender,男性
地层,part of,地壳
下肢,subclass of,肢
昭和天皇,child,明仁
萨拉丁,country of citizenship,阿尤布王朝
西海,different from,西海
亚伯拉罕·奥特柳斯,occupation,历史学家
勃艮第,instance of,大区
夏季,follows,春季
进食,uses,食物
康熙,place of burial,清东陵
虹彩,taxon rank,种
蔡叔,family name,姬
摩尔多瓦,diplomatic relation,斯洛文尼亚
戏曲,subclass of,歌剧
常温,subclass of,温度
查士丁尼法典,country,拜占庭帝国
大小,culture,日本
Ca,diplomatic relation,摩洛哥
1707年联合法案,country,英格兰王国
取代,subclass of,化学反应
巴西,shares border with,乌拉圭
库拉索,located on terrain feature,加勒比地区
埃及,diplomatic relation,中华人民共和国
微生物,subclass of,生物
巴西,diplomatic relation,德国
欧姆古温,located in the administrative territorial entity,阿拉伯联合酋长国
牛顿,notable work,光学
遗传学,practiced by,遗传学家
伊朗,diplomatic relation,孟加拉国
卡里马塔海峡,country,印度尼西亚
孢子,opposite of,配子
秘鲁,diplomatic relation,巴拉圭
拿骚,located in or next to body of water,大西洋
全国人大,instance of,一院制
伦敦政治经济学院,country,英国
宗教典籍,subclass of,文献
台湾原住民,religion,汉传佛教
程序设计,part of,计算机科学
卢森堡,head of state,亨利
吉尼斯世界纪录,language of work or name,英语
斯洛文尼亚社会主义共和国,capital,卢布尔雅那
罗宾德拉纳特·泰戈尔,place of birth,加尔各答
宗庙,country,大韩民国
越南战争,participant,大韩民国
也门,diplomatic relation,伊朗
伊斯坦堡,twinned administrative body,地拉那
致命,country,美国
国务委员会主席,subclass of,政治家
印尼,diplomatic relation,德国
杭嘉湖,instance of,平原
街道,subclass of,道路
科威特,diplomatic relation,伊拉克
中原官话,dialect of,官话
扶风,country,中华人民共和国
淮北市,located in the administrative territorial entity,安徽省
斯洛伐克共和国,continent,欧洲
恩里科·费米,employer,哥廷根大学
信号,subclass of,数据
皮埃尔·居里,sex or gender,男性
三原色,has part,红色
亚历山大,instance of,名字
沙地阿拉伯,shares border with,也门
墨西哥,part of,拉丁美洲
鄂,contains administrative territorial entity,荆门市
德国,diplomatic relation,毛里求斯
瑞士,diplomatic relation,印度尼西亚
半坡遗址,location,灞桥区
甘肃,contains administrative territorial entity,白银市
布莱兹·帕斯卡,languages spoken written or signed,拉丁语
闽南,writing system,汉字
荞麦,parent taxon,荞麦属
锡伯,instance of,族群
潘普洛纳,instance of,城市
中华人民共和国,diplomatic relation,阿尔巴尼亚
贵阳市,instance of,地级市
西方国家,participant,俄罗斯
孟加拉,diplomatic relation,纳米比亚
景德镇市,country,中华人民共和国
大不列颠岛,country,英国
科威特,official language,阿拉伯语
人工智慧,original language of work,英语
样本点,subclass of,集合
公孙述,sex or gender,男性
韧皮,opposite of,木质部
格鲁吉亚,diplomatic relation,厄瓜多尔
自然哲学家,subclass of,哲学
黄冈,instance of,地级市
苏丹共和国,member of,非洲联盟
马克思主义,instance of,政治思想
伊朗,diplomatic relation,大韩民国
挪威,diplomatic relation,冰岛
巴苏陀兰,continent,非洲
阿比赛欧河国家公园,located in the administrative territorial entity,圣马丁大区
沙地阿拉伯,diplomatic relation,文莱
腹足纲,subclass of,动物
塞纳-马恩省,located in the administrative territorial entity,法兰西岛
滕县,instance of,县级市
北加里曼丹省,shares border with,西里伯斯海
轻工,subclass of,产业
玄宗,father,唐睿宗
东帝汶,diplomatic relation,巴西
DNA,part of,细胞核
古巴,member of,经济互助委员会
潘安,country,中华人民共和国
清,official language,蒙古语
朝鲜,diplomatic relation,埃及
朝鲜,territory claimed by,大韩民国
有机体,manifestation of,生命
中华人民共和国政府,applies to jurisdiction,中华人民共和国
霍尔森斯,country,丹麦
禹州市,located in the administrative territorial entity,许昌市
屋顶,has contributing factor,动物
江泽民,member of political party,中国共产党
巴勒斯坦,instance of,国家
刚果河,country,刚果民主共和国
阻力,subclass of,力
森格藏布,instance of,河流
几内亚,shares border with,塞内加尔
点突变,subclass of,突变
长春,instance of,城市
赫尔曼·闵可夫斯基,student of,利奥波德·克罗内克
地中海,tributary,尼罗河
查尔斯河,instance of,河流
天心区,located in the administrative territorial entity,长沙市
呼出,opposite of,吸入
拓扑,studies,拓扑空间
京,twinned administrative body,哥本哈根
农民工,instance of,工艺
乡,part of,区
表音文字,subclass of,字位
西亚,has part,黎巴嫩
斯里兰卡,diplomatic relation,美国
努纳武特,located in the administrative territorial entity,加拿大
甘油,has quality,甜味
世界大洋,part of,地球
胰岛素,has part,碳
印尼,driving side,左
土耳其,diplomatic relation,阿富汗
国际合作社联盟,headquarters location,布鲁塞尔-首都大区
印尼,capital,雅加达
斯德哥尔摩,twinned administrative body,塔林
玻色子,has quality,玻色-爱因斯坦统计
马其顿共和国,continent,欧洲
棉兰老穆斯林自治区,country,菲律宾
木卫四,discoverer or inventor,伽利略·伽利莱
约瑟夫·斯大林,religion,无神论
布尔函数,subclass of,函数
阿拉伯半岛,located on terrain feature,阿拉伯板块
化学,replaces,炼金术
吉尔吉斯斯坦,instance of,主权国家
墨西哥,diplomatic relation,阿塞拜疆
紫禁城,heritage designation,世界遗产
恐怖袭击,subclass of,刑事案件
卡累利阿共和国,shares border with,列宁格勒州
山海关,part of,明长城
东加里曼丹,shares border with,南加里曼丹省
泡利不相容原理,named after,沃尔夫冈·泡利
价值观,subclass of,原理
左传,country of origin,中国
于格·卡佩,noble title,公爵
亚里士多德,occupation,天文学家
旱季,instance of,季节
秘鲁,diplomatic relation,墨西哥
西开普省,official language,科萨语
中华人民共和国,diplomatic relation,圣多美和普林西比
罗马尼亚,diplomatic relation,摩尔多瓦
济宁,contains administrative territorial entity,微山县
洛南,country of citizenship,清朝
中国人民解放军,conflict,越南战争
巴拿马,diplomatic relation,俄罗斯
印尼,diplomatic relation,波斯尼亚和黑塞哥维那
西汉,replaced by,新朝
南罗德西亚,diplomatic relation,赞比亚
希腊,diplomatic relation,美国
联合王国,member of,世界贸易组织
澳,diplomatic relation,波兰
保罗·埃尔德什,field of work,概率论
俄罗斯人,country,蒙古国
可口可乐,has part,咖啡因
立宪,subclass of,君主制
河北,contains administrative territorial entity,邢台市
计算机软件,subclass of,产品
大费,sex or gender,男性
意大利,contains administrative territorial entity,普利亚
佚名,subclass of,作曲家
公理,part of,公理系统
保护非物质文化遗产公约,instance of,条约
特里普拉邦,located in the administrative territorial entity,印度
新乡,country,中华人民共和国
新加坡岛,located in or next to body of water,南海
抗战,participant,大日本帝国
南半球,has part,太平洋
全效工作室,legal form,游戏开发者
开封,contains administrative territorial entity,尉氏县
京,twinned administrative body,圣彼得堡
亚喀巴湾,basin country,约旦
喷出岩,subclass of,火成岩
皖,contains administrative territorial entity,亳州市
让-保罗·萨特,medical condition,失明
最高领导人,position held,中国共产党中央委员会总书记
德国,significant event,最终解决德国问题条约
动脉粥样硬化,instance of,疾病
大名镇,capital of,大名县
海南岛,located in or next to body of water,北部湾
市,different from,城市
翟理斯,country of citizenship,英国
意大利半岛,country,圣马力诺
思维,studied by,认知科学
Ca,office held by head of state,英国君主
上海,twinned administrative body,萨格勒布
哥伦比亚,diplomatic relation,德国
运算,part of,数学
反夸克,interaction,弱相互作用
巴沙尔·阿萨德,position held,叙利亚总统
大别山,country,中华人民共和国
西班牙,shares border with,法国
巴伦西亚,located in or next to body of water,地中海
平年,part of,公历
澳,diplomatic relation,西班牙
中世纪,has part,中世纪前期
沙地阿拉伯,diplomatic relation,马来西亚
Cl,part of,南美洲
冀州,instance of,州
黄浦江,instance of,河流
瑶峰镇,capital of,夏县
卢布尔雅那,instance of,城市
柴达木盆地,continent,亚洲
庞加莱,field of work,几何学
深圳,instance of,城市
埃尔朗根,country,德国
江苏,contains administrative territorial entity,扬州市
吉萨,country,埃及
国籍,different from,族群
路易斯安那州,part of,美国本土
周期表,has part,元素周期
王室,has part,王妃
赵高,occupation,政治人物
奉化,located in the administrative territorial entity,宁波市
行政院长,subclass of,政府首脑
申,located in or next to body of water,长江
威廉·卡文迪许,country of citizenship,英格兰王国
费尔南多三世,canonization status,圣人
布鲁克·泰勒,languages spoken written or signed,英语
中学,subclass of,学校
大韩民国,official language,朝鲜语
亚平宁半岛,located in or next to body of water,第勒尼安海
希腊历史,facet of,希腊
连江,country,中华人民共和国
波河,located in the administrative territorial entity,艾米利亚-罗马涅
以利,occupation,法官
孟加拉,diplomatic relation,美国
三十,instance of,楔形数
突厥语,instance of,语系
恩里科·费米,member of,皇家学会
文水县,country,中华人民共和国
库拉索,located in the administrative territorial entity,荷属安的列斯
德国,diplomatic relation,蒙古国
三省六部制,has part,工部
阿尔巴尼亚,instance of,国家
宋高宗,father,宋徽宗
方以智,country of citizenship,清朝
冰川学,part of,水文学
科索沃战争,participant,法国
动能,has effect,势能
交流,facet of,高速公路
野史,facet of,历史
花序,has part,花
大豆,taxon rank,种
镜头,taxon rank,种
永修,country of citizenship,清朝
爱尔兰,continent,欧洲
眼,use,视知觉
巴西,diplomatic relation,不丹
戈尔巴乔夫,country of citizenship,苏联
蒙特利尔岛,located in the administrative territorial entity,魁北克
国语,writing system,汉字
莫卧儿帝国,continent,亚洲
甲骨,subclass of,材料
腺苷三磷酸,has part,氮
京都市,twinned administrative body,布拉格
苏拉威西,located in or next to body of water,西里伯斯海
摩洛哥,diplomatic relation,伊朗
约翰·施里弗,student of,约翰·巴丁
塞尔维亚语,country,塞尔维亚
衡阳县,contains administrative territorial entity,西渡镇
吉布提,instance of,主权国家
康有为,participant of,戊戌变法
孝经,instance of,作品
阿塞拜疆语,country,俄罗斯
墨西哥,diplomatic relation,沙特阿拉伯
南非共和国,applies to jurisdiction,南非
德意志帝国,official language,德语
泰米尔纳德邦,country,印度
捷克,diplomatic relation,丹麦
大不列颠及北爱尔兰联合王国,diplomatic relation,圣马力诺
天,part of,星期
孙儿,father,女婿
中华人民共和国,geography of topic,中国地理
狄拉克,member of,皇家学会
文,subclass of,出版物
不列颠,island of location  (DEPRECATED),爱尔兰岛
伊斯坦堡,twinned administrative body,斯德哥尔摩
中华民国,diplomatic relation,瑞典
丹麦,diplomatic relation,冰岛
智人,has parts of the class,人
白俄罗斯人,religion,新教
中华民国,diplomatic relation,澳大利亚
中华民国,diplomatic relation,莫桑比克
Cl,diplomatic relation,墨西哥
新南威尔士州,capital,悉尼
俄语,country,美国
法兰西第三共和国,basic form of government,议会共和制
阿尔弗雷德·魏格纳,field of work,地质学
半导体器件,part of,集成电路
不列颠,basic form of government,君主立宪制
卡塔尔,diplomatic relation,以色列
伊朗,diplomatic relation,塔吉克斯坦
终端用户,uses,产品
武汉,located in the administrative territorial entity,湖北省
苗,instance of,汉字
史记,instance of,图书
美利坚合众国,diplomatic relation,厄瓜多尔
伊拉克,member of,联合国
乔治·贝克莱,occupation,哲学家
阿尔及利亚,diplomatic relation,孟加拉国
纽伦堡,shares border with,埃尔朗根
慕尼黑,twinned administrative body,维罗纳
伊朗,diplomatic relation,土耳其
殷墟,heritage designation,全国重点文物保护单位
IE,diplomatic relation,南非
索马里,shares border with,埃塞俄比亚
神职人员,field of this occupation,宗教
威尼托,shares border with,特伦蒂诺-上阿迪杰
Google搜索,programming language,C++
电子计算机,studied by,计算机科学
李元吉,sex or gender,男性
李大钊,member of political party,中国共产党
长安区,located in the administrative territorial entity,西安市
老挝,diplomatic relation,泰国
瑞典,diplomatic relation,乌克兰
秦惠文王,sex or gender,男性
秘鲁,shares border with,厄瓜多尔
埃塞俄比亚,diplomatic relation,俄罗斯
文莱,diplomatic relation,巴基斯坦
京,twinned administrative body,特拉维夫
冰岛,diplomatic relation,意大利
罗马帝国,followed by,拜占庭帝国
湘语,writing system,汉字
摩洛哥,diplomatic relation,埃及
安南,cause of death,疾病
神话,subclass of,世界观
良序,has quality,全序关系
圣马丁大区,located in the administrative territorial entity,秘鲁
纽西兰,member of,亚洲太平洋经济合作组织
华沙,twinned administrative body,杜塞尔多夫
多伦多,twinned administrative body,比什凯克
潇水,country,中华人民共和国
摩鹿加人,instance of,人民
钱玄同,languages spoken written or signed,世界语
东帝汶,diplomatic relation,澳大利亚
汉传佛教,part of,佛教
幼发拉底河,basin country,伊拉克
山海经,language of work or name,汉语
古吉拉特邦,shares border with,拉贾斯坦邦
秦庄襄王,child,子婴
不规则星系,subclass of,星系
硝石,subclass of,硝酸钾
峰峰矿区,country,中华人民共和国
爱因斯坦,notable work,爱因斯坦场方程
NAD,instance of,化合物
国际民航组织,nominated for,诺贝尔和平奖
西亚,continent,亚洲
乍得,instance of,国家
有机,has parts of the class,脂肪
列支敦斯登,shares border with,奥地利
澳,diplomatic relation,意大利
澄迈,located in the administrative territorial entity,海南省
诈骗,subclass of,罪行
巴伦西亚,different from,巴伦西亚
本星系群,part of,室女座超星系团
阿曼,shares border with,沙特阿拉伯
行政院长,part of,行政院
突厥,diplomatic relation,叙利亚
威尼托,located in the administrative territorial entity,意大利
莱索托,shares border with,南非
西渡镇,located in the administrative territorial entity,衡阳县
真空,part of,物理学
美利坚合众国,diplomatic relation,希腊
国务院组成部门,country,中华人民共和国
意大利,diplomatic relation,黎巴嫩
西山,country,中华人民共和国
施耐庵,languages spoken written or signed,汉语
主教,religion,基督教
信用,subclass of,债务
列表,subclass of,列表
共产国际,political ideology,马克思列宁主义
有机化学,studies,有机化合物
德国,diplomatic relation,也门
安哥拉,diplomatic relation,佛得角
联合国大会,instance of,联合国主要机构
亚洲,has part,中亚
行政院原住民族委员会,instance of,组织
英吉利海峡,basin country,英国
卡尔·弗里德里希·高斯,languages spoken written or signed,德语
武安市,instance of,县级市
梵蒂冈,country,梵蒂冈
俄国,contains administrative territorial entity,乌德穆尔特共和国
地理学,instance of,学位
俄罗斯苏维埃联邦社会主义共和国,member of,苏联
苏里南,diplomatic relation,法国
以色列,diplomatic relation,波兰
计算机,studied by,计算机科学
蒂姆·伯纳斯-李,notable work,万维网
科威特,instance of,主权国家
波兰,member of,经济互助委员会
约旦,diplomatic relation,阿拉伯联合酋长国
大韩民国,diplomatic relation,越南
列支敦斯登,member of,联合国贸易和发展会议
利比亚,country,利比亚
地平线,contributing factor of,日落
单系群,part of,生物分类学
半岛,subclass of,地形
埃松省,shares border with,上塞纳省
利比里亚,country,利比里亚
列宁格勒州,continent,欧洲
二元论,different from,阴阳
菲律宾,country,菲律宾
克里特,country,希腊
伊朗,diplomatic relation,阿拉伯人
古吉拉特邦,located in the administrative territorial entity,印度
舞阳,instance of,县
苏俄,location,蒙古国
歌手,uses,声乐
阿布·伯克尔,occupation,士兵
石勒,country of citizenship,后赵
图书,has quality,出版社
萨克森,shares border with,巴伐利亚
耶稣,instance of,神
卡迪夫,twinned administrative body,厦门市
梁山,located in the administrative territorial entity,济宁市
爱尔兰,diplomatic relation,墨西哥
副省级市辖区,country,中华人民共和国
千分比,follows,百分比
行政院原住民族委员会,parent organization,行政院
IE,diplomatic relation,中华人民共和国
热带气旋,subclass of,气旋
捷克,shares border with,波兰
夏,writing system,汉字
布基纳法索,diplomatic relation,美国
西安,twinned administrative body,京都市
Google搜索,creator,拉里·佩奇
梧州市,contains administrative territorial entity,岑溪市
智力游戏,subclass of,游戏
冰岛,diplomatic relation,大韩民国
中央精神文明建设指导委员会,parent organization,中国共产党中央委员会
社会语言学,subclass of,语言学
丹麦,diplomatic relation,哥斯达黎加
让-保罗·萨特,conflict,第二次世界大战
马克思列宁主义,has part,马克思主义
绍兴,located in the administrative territorial entity,浙江省
危地马拉,deepest point,加勒比海
邗江区,country,中华人民共和国
查尔斯·库仑,occupation,物理学家
卡塔尔,diplomatic relation,叙利亚
斯德哥尔摩,twinned administrative body,圣彼得堡
中华人民共和国,diplomatic relation,刚果民主共和国
中国南海,country,中华人民共和国
欧洲联盟,award received,诺贝尔和平奖
珊瑚纲,different from,珊瑚
中华人民共和国,diplomatic relation,智利
加泰罗尼亚,shares border with,安道尔
印尼,diplomatic relation,阿尔及利亚
交换性,used by,加法
创世纪,characters,以扫
奥匈帝国,official language,匈牙利语
广州,twinned administrative body,泗水
巴基斯坦,diplomatic relation,挪威
太阳系,has part,海王星
长沙,contains administrative territorial entity,雨花区
克罗地亚语,instance of,语言
假名,has part,平假名
窦皇后,occupation,政治人物
雅典,country,奥斯曼帝国
元帅,instance of,军衔
半坡遗址,instance of,城市
中子,interaction,弱相互作用
武夷山,located in the administrative territorial entity,福建省
塞尔维亚,diplomatic relation,黎巴嫩
大理州,country,中华人民共和国
伊斯坦堡,twinned administrative body,布达佩斯
政治哲学,said to be the same as,政治思想
福州,contains administrative territorial entity,连江县
科西嘉岛,located in or next to body of water,地中海
国际纯粹与应用化学联合会,legal form,协会
爱沙尼亚,diplomatic relation,格鲁吉亚
涅瓦河,country,俄罗斯
巴西,diplomatic relation,洪都拉斯
里海,country,美国
石炭纪,part of,古生代
书经,author,孔子
突尼斯,instance of,主权国家
波罗的海,basin country,瑞典
云冈石窟,heritage designation,全国重点文物保护单位
汶莱,diplomatic relation,印度尼西亚
闽,contains administrative territorial entity,厦门市
法兰西共和国,shares border with,比利时
智人,said to be the same as,智人
宋江,country of citizenship,中华人民共和国
太初,instance of,年号
大贝尔特桥,country,丹麦
帝国时代3,genre,即时战略游戏
棉兰老穆斯林自治区,located in the administrative territorial entity,菲律宾
气态,opposite of,类地行星
汉明帝,father,汉光武帝
列宁,political ideology,马克思主义
中华人民共和国,shares border with,不丹
塔林,country,爱沙尼亚
江湖,programming language,Java
巴基斯坦,follows,巴基斯坦
俄罗斯人,country,埃塞俄比亚
油田,subclass of,地理位置
土耳其,member of,联合国
日本,shares border with,苏联
莫高窟,heritage designation,全国重点文物保护单位
新西兰,diplomatic relation,乌克兰
俄罗斯人,country,德国
清高宗,country of citizenship,清朝
君士坦丁十一世,sex or gender,男性
西班牙帝国,continent,大洋洲
段祺瑞,place of birth,合肥市
雅典,continent,欧洲
人类性行为,facet of,心理学
美利坚合众国,diplomatic relation,土库曼斯坦
国民政府,instance of,政府
湖北,shares border with,安徽省
郑州,located in the administrative territorial entity,河南省
塞尔维亚,public holiday,元旦
巴勒斯坦国,depicts,三角形
濮阳,country,中华人民共和国
巴拉圭河,instance of,河流
杨侗,country of citizenship,唐朝
以撒,sex or gender,男性
未来11国,has part,越南
齐米,instance of,名称
察隅,country,中华人民共和国
曾巩,country of citizenship,北宋
挪威,diplomatic relation,德国
蒙哥,ethnic group,蒙古族
西城故事,based on,西城故事
游戏开发者,subclass of,企业
热那亚共和国,country,意大利
蒙哥,position held,可汗
台湾,shares border with,菲律宾
南欧,has part,波斯尼亚和黑塞哥维那
老挝,shares border with,缅甸
阿塔罗斯王朝,capital,帕加马
塞尔维亚王国,official language,塞尔维亚语
浙江,contains administrative territorial entity,绍兴市
摩纳哥,deepest point,地中海
卡法,country,乌克兰
苏丹共和国,diplomatic relation,俄罗斯
捷克,diplomatic relation,中华人民共和国
唐高宗,child,唐睿宗
铁杉,taxon rank,种
科学方法,field of work,科学
江泽民,ancestral home,旌德县
德国,diplomatic relation,俄罗斯
聊斋志异,language of work or name,汉语
蒙古,diplomatic relation,英国
哈瓦那省,country,古巴
穆罕默德,named after,穆罕默德
海军航空兵,part of,海军
清高宗,place of death,北京市
悉尼,instance of,城市
挪亚,sex or gender,男性
聂斯脱里,canonization status,圣人
丘,subclass of,地形
脱水缩合,instance of,化学反应
管叔,sex or gender,男性
波斯语,part of,伊朗语支
王宫,country,法国
骑士,instance of,军衔
CMOS,use,微处理器
中美洲,has part,尼加拉瓜
巴黎大学,headquarters location,巴黎
中华人民共和国,diplomatic relation,以色列
爱因斯坦,influenced by,赫尔曼·闵可夫斯基
维也纳,twinned administrative body,突尼斯市
大型计算机,subclass of,电子计算机
地理学,studies,地理位置
莎士比亚,native language,英语
詹姆斯·查德威克,nominated for,诺贝尔物理学奖
普拉托省,contains administrative territorial entity,普拉托
雅威,worshipped by,基督教
达利语,country,阿富汗
喀麦隆,located in or next to body of water,几内亚湾
国际刑事法院罗马规约,language of work or name,英语
阳极,place of birth,哥伦比亚
土库曼,diplomatic relation,孟加拉国
安徽,shares border with,湖北省
巴塞罗那,twinned administrative body,塞维利亚
民国,diplomatic relation,爱尔兰共和国
毛泽东,position held,中国共产党中央军事委员会主席
古希腊喜剧,time period,古典时代
光稃稻,parent taxon,稻属
杜甫,occupation,诗人
积,instance of,二元运算
利昂·库珀,country of citizenship,美国
梵蒂冈,office held by head of state,教宗
李煜瀛,sex or gender,男性
中华民国,basic form of government,民主
向量空间,subclass of,空间
永城,country,中华人民共和国
挪威,member of,世界贸易组织
广府人,instance of,族群
毛泽东,member of political party,中国共产党
恒星系,part of,星系
卡尔·威曼,sex or gender,男性
比哈尔邦,located in the administrative territorial entity,英属印度
米开朗基罗,country of citizenship,意大利
成长,original language of work,英语
锡克教,instance of,组织
甲醇,has part,氧
丹凤县,country,中华人民共和国
中央精神文明建设指导委员会办公室,country,中华人民共和国
中心极限定理,instance of,定理
波希米亚,capital,布拉格
莫斯科,capital of,俄罗斯苏维埃联邦社会主义共和国
沙溪,country of citizenship,明朝
汉中,country,中华人民共和国
加勒比海盗4,original language of work,英语
莱昂王国,official language,西班牙语
阿姆斯特丹,named after,路基
孙殿英,place of death,武安市
哥本哈根,country,丹麦
阿拉伯联合酋长国,part of,中东
计算科学,subclass of,计算机科学
苏格拉底,student,柏拉图
卡托维兹,named after,斯大林
邓小平,place of birth,广安区
纳粹德国,shares border with,苏联
美利坚合众国,diplomatic relation,老挝
延平区,located in the administrative territorial entity,南平市
杜氏,language of work or name,汉语
青草,located in the administrative territorial entity,桐城市
空集,instance of,开集
中华人民共和国,diplomatic relation,瑞典
羧酸,subclass of,有机酸
加勒比,continent,中美洲
类地行星,subclass of,行星
重庆,instance of,直辖市
塞尔维亚,diplomatic relation,土库曼斯坦
东德,diplomatic relation,德国
夜行登霄,part of,伊斯兰教
犹太会堂,subclass of,建筑物
管治,instance of,概念
表面积,subclass of,面积
罗曼什语,writing system,拉丁文字
科索沃,diplomatic relation,美国
玄武岩,subclass of,喷出岩
柴门霍夫,languages spoken written or signed,世界语
尼泊尔,part of,南亚
塞纳-圣但尼省,shares border with,上塞纳省
卡尔·马克思,field of work,经济
宁夏,contains administrative territorial entity,吴忠市
中华人民共和国,diplomatic relation,新加坡
马尔马拉海,country,土耳其
斯大林,languages spoken written or signed,格鲁吉亚语
武川,country,中华人民共和国
塞尔维亚,diplomatic relation,西班牙
气体,has part,体积
社会等级,instance of,概念
烷基,subclass of,烃基
绵羊,this taxon is source of,羊毛
阿方索九世,father,斐迪南二世
哥伦比亚,diplomatic relation,西班牙
卡拉卡尔帕克语,linguistic typology,主宾谓结构
圭亚那,driving side,左
科索沃,diplomatic relation,爱尔兰共和国
白俄罗斯,diplomatic relation,中华人民共和国
伍,different from,吴
克钦邦,located in the administrative territorial entity,缅甸
省会,is a list of,城市
克罗地亚,deepest point,亚得里亚海
欧洲联盟,shares border with,土耳其
精神分析学,subclass of,精神病学
司马贞,occupation,历史学家
土耳其,diplomatic relation,格鲁吉亚
食,subclass of,产品
地壳,part of,地球
北疆铁路,country,中华人民共和国
电子计算机,has part,编程语言
美利坚合众国,diplomatic relation,马耳他
闽南,instance of,语言
汉和帝,sex or gender,男性
永元,instance of,年号
俄语,linguistic typology,主谓宾结构
称号,subclass of,名称
日本海沟,instance of,海沟
瑞典,diplomatic relation,加拿大
莱茵河,continent,欧洲
榆次区,instance of,区
林堡省,named after,林堡
富兰克林·德拉诺·罗斯福,occupation,政治家
克罗地亚,diplomatic relation,保加利亚
常州,country,中华人民共和国
包河,country,中华人民共和国
铵根离子,conjugate base,氨
冰岛,diplomatic relation,希腊
纳闽,instance of,联邦直辖区
马耳他,diplomatic relation,葡萄牙
广州,shares border with,肇庆市
伊朗,diplomatic relation,印度尼西亚
比利时,diplomatic relation,墨西哥
克利奥帕特拉七世,partner,凯撒
项梁,family name,梁
上夸克,interaction,弱相互作用
中南海,heritage designation,全国重点文物保护单位
蒙田,occupation,哲学家
大麦哲伦星系,instance of,矮星系
留坝县,country,中华人民共和国
出版品,has part,文章
广州府,instance of,府
民俗,part of,历史
合成代谢,subclass of,化学合成
外星人,subclass of,外星生命
甘肃,country,中华人民共和国
米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫,sex or gender,男性
计算数学,subclass of,计算科学
旧金山湾,located in the administrative territorial entity,加利福尼亚州
基督新教,instance of,宗派
阿巴拉契亚山脉,located in the administrative territorial entity,纽约州
田儋,sex or gender,男性
Xbox,manufacturer,微软
